[2019-12-03T14:45:03.983] [INFO] http - [::1 GET / 304 138ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T14:45:04.686] [INFO] http - [::1 GET /favicon.ico 404 2ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:19:26.469] [INFO] http - [::1 GET / 304 20ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:19:40.423] [INFO] http - [::1 POST /login 200 245ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:19:46.941] [INFO] http - [::1 GET /menu?username=admin 200 59ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:25:30.099] [INFO] http - [::1 GET /rolepower?username=admin 200 30ms][http://localhost:8006/menu?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:25:47.305] [INFO] http - [::1 GET /logout?username=admin 302 14ms][http://localhost:8006/rolepower?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:25:47.325] [INFO] http - [::1 GET / 304 3ms][http://localhost:8006/rolepower?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:25:54.817] [INFO] http - [::1 POST /login 200 6ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:25:58.843] [INFO] http - [::1 GET /feature?username=admin 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:26:08.047] [INFO] http - [::1 POST /login 200 59ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:26:09.514] [INFO] http - [::1 GET /feature?username=admin 200 18ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:26:14.711] [INFO] http - [::1 GET /release?username=admin 200 24ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:28:42.552] [INFO] http - [::1 GET /release?username=admin 200 11ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:32:15.875] [INFO] http - [::1 GET /release?username=admin 304 11ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:32:24.651] [INFO] http - [::1 GET /release?username=admin 304 9ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T15:36:56.653] [INFO] http - [::1 GET /release?username=admin 304 8ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:05:19.993] [INFO] http - [::1 GET /release?username=admin 200 5ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:06:04.391] [INFO] http - [::1 GET /release?username=admin 200 6ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:06:44.459] [INFO] http - [::1 GET /release?username=admin 200 9ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:15:52.693] [INFO] http - [::1 GET /release?username=admin 200 10ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:16:29.113] [INFO] http - [::1 GET /release?username=admin 304 3ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T16:16:50.774] [INFO] http - [::1 GET /release?username=admin 200 7ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:16:54.400] [INFO] http - [::1 GET /release?username=admin 200 3ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:18:08.492] [INFO] http - [::1 GET /release?username=admin 304 12ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:18:20.846] [INFO] http - [::1 GET /release?username=admin 304 8ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:18:38.943] [INFO] http - [::1 GET /release?username=admin 304 7ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T16:31:27.194] [INFO] http - [::1 GET /upload/pu.png 404 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T17:05:24.765] [INFO] http - [::1 GET /template 200 5ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-03T17:05:51.210] [INFO] http - [::1 GET /template 200 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:06:37.928] [INFO] http - [::1 GET /template 200 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:06:38.924] [INFO] http - [::1 GET /template 304 4ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:14:09.847] [INFO] http - [::1 GET /template 200 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:14:10.858] [INFO] http - [::1 GET /template 304 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:16:01.682] [INFO] http - [::1 GET /template 304 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:16:02.482] [INFO] http - [::1 GET /template 304 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:16:03.164] [INFO] http - [::1 GET /template 304 3ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:16:35.405] [INFO] http - [::1 GET /template 200 2ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:16:36.952] [INFO] http - [::1 GET /template 304 7ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:17:18.449] [INFO] http - [::1 GET /template 304 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:18:52.025] [INFO] http - [::1 GET /template 304 5ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36]
[2019-12-03T17:23:17.460] [INFO] http - [::1 GET /template 304 6ms][ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2019-12-03T17:23:18.032] [INFO] http - [::1 GET /template 304 6ms][ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
